"","description","FDR","enrich","cellType","logFDR"
"28","acute inflammatory response",0.00125777850733669,0.673510729459157,"Ast",2.90039583067984
"29","protein localization to endoplasmic reticulum",0.00125777850733669,0.662096510274604,"Ast",2.90039583067984
"30","response to organophosphorus",0.00143746115124193,0.694455389461384,"Ast",2.84240388370216
"31","steroid metabolic process",0.00146740825855947,0.627264748369701,"Ast",2.83344904104923
"32","translational initiation",0.00327022411907538,0.636332025732994,"Ast",2.48542248270902
"33","response to peptide",0.00349382918704635,0.582525388589252,"Ast",2.45669833144713
"34","regulation of lipid metabolic process",0.00361611320859297,0.594789943858878,"Ast",2.44175798165419
"35","response to molecule of bacterial origin",0.00445939652601189,0.587526989146483,"Ast",2.35072390881157
"36","regulation of small molecule metabolic process",0.00467174874153626,0.599790668530836,"Ast",2.33052052272328
"37","regulation of mRNA metabolic process",0.00492629915373535,0.708593419506282,"Ast",2.30747921879175
"38","regulation of cellular amide metabolic process",0.00503111402934674,0.635639394948279,"Ast",2.29833583935188
"39","posttranscriptional regulation of gene expression",0.00570192923325964,0.610581924212469,"Ast",2.24397817702929
"40","protein targeting",0.00943333880502514,0.575874475563173,"Ast",2.02533456728814
"41","response to antibiotic",0.00947033229053505,0.580181188276873,"Ast",2.02363478241025
"42","response to tumor necrosis factor",0.00959056111844223,0.61197251448015,"Ast",2.01815598266102
"43","organelle disassembly",0.0111876088284158,0.820955635225654,"Ast",1.951262727019
"44","multi-multicellular organism process",0.0119488958196985,0.598044114123347,"Ast",1.92267222539099
"45","response to type I interferon",0.0150334478734052,0.675273815351207,"Ast",1.82294140393272
"46","leukocyte proliferation",0.0168656663483783,0.556099824763958,"Ast",1.77299649552389
"47","positive regulation of catabolic process",0.0177182711468298,0.562246765952568,"Ast",1.75157865649082
"48","platelet degranulation",0.0188666776100503,0.608360944647608,"Ast",1.72430457162416
"49","response to alcohol",0.0193003943367181,0.584798109554905,"Ast",1.71443381759787
"50","regulation of protein catabolic process",0.0193791058908171,0.584619895557288,"Ast",1.71266626421209
"51","cellular response to external stimulus",0.019405725541766,0.563974864774143,"Ast",1.71207011520715
"52","myeloid cell differentiation",0.0196632706646969,0.548093114424361,"Ast",1.70634424268442
"53","post-translational protein modification",0.0197374473458988,0.613615720569156,"Ast",1.70470901556078
"54","cellular response to drug",0.0199232115562131,0.544667378340804,"Ast",1.70064065342637
"55","natural killer cell activation",0.0216662491263803,0.720948908593638,"Ast",1.66421626748556
"56","positive regulation of transmembrane transport",0.0220851108494118,0.594740618878523,"Ast",1.65590041659273
"57","establishment of protein localization to membrane",0.0223648740835805,0.555151698570482,"Ast",1.65043354260468
"58","osteoblast proliferation",0.022716242132505,0.78583475819269,"Ast",1.64366351081749
"59","angiogenesis",0.02677744243251,0.501058299951806,"Ast",1.57223090568438
"60","lymphocyte mediated immunity",0.0271819910752206,0.569442145865261,"Ast",1.56571873445744
"61","response to leukemia inhibitory factor",0.0273117618735966,0.700048725220645,"Ast",1.56365028274933
"62","response to interferon-gamma",0.0273651810380009,0.568782635958595,"Ast",1.56280167437897
"63","I-kappaB kinase/NF-kappaB signaling",0.0275484170631303,0.55627605017369,"Ast",1.55990335073227
"64","organic hydroxy compound metabolic process",0.0276411800540896,0.519946569430268,"Ast",1.55844342005183
"65","midbrain development",0.0282056830270252,0.719133624832135,"Ast",1.54966337896371
"66","regulation of cell cycle phase transition",0.028670899821085,0.577906455120569,"Ast",1.54255867673613
"67","pri-miRNA transcription by RNA polymerase II",0.0287826523539372,0.683881289174266,"Ast",1.54086918782809
"68","neuron death",0.029014663294244,0.553850432716299,"Ast",1.5373824649168
"69","response to oxidative stress",0.0318637221858627,0.529515526252092,"Ast",1.49670349311871
"70","defense response to other organism",0.0321006949481146,0.518458094211359,"Ast",1.49348556544982
"71","intrinsic apoptotic signaling pathway",0.0323076440119815,0.558273491192034,"Ast",1.49069471112201
"72","cytoplasmic translation",0.0323877965639197,0.670317859163644,"Ast",1.48961859730263
"73","regulation of DNA-templated transcription in response to stress",0.0329537968922212,0.650889508021022,"Ast",1.4820945393601
"74","leukocyte cell-cell adhesion",0.0329966148839603,0.520848908263052,"Ast",1.48153061201983
"75","tissue migration",0.0335236475628921,0.524511635466771,"Ast",1.4746487337693
"76","regulation of transporter activity",0.0363612332120969,0.565695086281548,"Ast",1.43936139585363
"77","negative regulation of proteolysis",0.0364030125681099,0.54432643034642,"Ast",1.43886267438478
"78","cellular response to biotic stimulus",0.0364535104231615,0.548887988601742,"Ast",1.43826064336797
"79","maintenance of location",0.0365687454910851,0.533646701917592,"Ast",1.43688993809358
"80","regulation of response to wounding",0.0369921643139915,0.560286960895877,"Ast",1.43189025851629
"81","regulation of cell-cell adhesion",0.0372112584812061,0.508628068080701,"Ast",1.42932564193221
"82","response to interleukin-1",0.0382075995753259,0.590335915282612,"Ast",1.41785024637171
"83","cellular ketone metabolic process",0.0383216709735323,0.600618639525673,"Ast",1.41655556225626
"84","feeding behavior",0.0386500412508714,0.696766993372477,"Ast",1.41285003822648
"85","response to nutrient levels",0.038823429926459,0.514843333732671,"Ast",1.41090609871757
"86","epidermis development",0.0389312395128022,0.542863484639693,"Ast",1.40970176877091
"87","intracellular receptor signaling pathway",0.0389477620547705,0.559295350598847,"Ast",1.40951749191149
"88","DNA-templated transcription, initiation",0.0389911337274373,0.613417761237081,"Ast",1.40903413684557
"89","tissue remodeling",0.039590997323244,0.560960698736591,"Ast",1.40240355794656
"90","leukocyte differentiation",0.0397182869269913,0.493697925730024,"Ast",1.40100949114843
"91","response to fibroblast growth factor",0.0405868228785361,0.608394319392809,"Ast",1.39161494376338
"92","extracellular structure organization",0.0416617593252069,0.487422197816703,"Ast",1.38026239427554
"93","ER-nucleus signaling pathway",0.0420132959742324,0.733191499672252,"Ast",1.37661324640126
"94","response to toxic substance",0.0426050325372497,0.498447598251545,"Ast",1.37053909868907
"95","homeostasis of number of cells",0.0431418028016483,0.531858482318352,"Ast",1.36510171063707
"96","multicellular organism growth",0.0432403854414126,0.63052003697941,"Ast",1.36411044343444
"97","regulation of inflammatory response",0.0432931007960091,0.502511157988082,"Ast",1.36358130745621
"98","epithelial cell development",0.043452054833458,0.538545288980308,"Ast",1.36198968108572
"99","negative regulation of cytokine production",0.0437262998727048,0.519415375503064,"Ast",1.35925727117686
"100","adaptive immune response",0.045215524802206,0.499824996507221,"Ast",1.3447124240757
"101","response to radiation",0.0456557263377407,0.529631592579215,"Ast",1.34050474362988
"102","regulation of immune effector process",0.0460082138209998,0.504211820754007,"Ast",1.33716462704256
"103","regulation of metal ion transport",0.0462193798328911,0.507729430603577,"Ast",1.33517588613861
"104","export across plasma membrane",0.0479459698394539,0.752415187722249,"Ast",1.31924789214389
"105","regulation of vasculature development",0.0479564619250813,0.49022969246103,"Ast",1.31915286525404
"106","negative regulation of mitotic cell cycle",0.048130098839256,0.547847262822861,"Ast",1.31758324646103
"107","negative regulation of defense response",0.0481877937810819,0.538209966726991,"Ast",1.31706295688276
"108","negative regulation of transport",0.0482008674644914,0.495558960489447,"Ast",1.31694514575178
"109","neutral lipid metabolic process",0.0482378790176377,0.621680342438427,"Ast",1.31661179604176
"110","positive regulation of ion transport",0.0484170738353604,0.525537841061897,"Ast",1.31500146139485
"111","ERK1 and ERK2 cascade",0.0484895300414626,0.494228104745745,"Ast",1.31435202502839
"112","process utilizing autophagic mechanism",0.0486152591599798,0.511969331504967,"Ast",1.31322739475322
"113","response to thyroid hormone",0.0487532100968799,0.753712976083532,"Ast",1.31199678342261
"114","epithelial cell proliferation",0.0488886526958843,0.499675115135211,"Ast",1.31079193113063
"115","cytokine metabolic process",0.049119560654938,0.575605684102261,"Ast",1.30874552635364
"116","mitotic cell cycle phase transition",0.0491775868238924,0.516254183475285,"Ast",1.30823278618658
"117","regulation of hemopoiesis",0.049310979070766,0.492927283243909,"Ast",1.30705637445508
"118","aging",0.0493601370318226,0.517392231526354,"Ast",1.30662364330055
"119","protein localization to mitochondrion",0.0494778620323569,0.672452351836207,"Ast",1.30558907475857
"120","translational initiation",1e-07,0.850671625789212,"Inh",7
